raw_genre,canonical_genre,layer,note
indie punk,Punk / Hardcore,rule,
punk cabaret,Punk / Hardcore,rule,
symphonic death metal,Metal,rule,
wu-tang,,unmapped,
bedroom pop,Pop,rule,
doomwave,,unmapped,
drum n bass,Electronic / Dance,rule,
female fronted metal,Metal,rule,
game,,unmapped,
modern rock,Rock,rule,
my top songs,,unmapped,
traditional japanese,,unmapped,
acoustic blues,Blues,rule,
big beat,,unmapped,
caucasian,,unmapped,
chaotic hardcore,Punk / Hardcore,rule,
classic guitar,,unmapped,
deconstructed club,Electronic / Dance,rule,
dftba,,unmapped,
field recordings,,unmapped,
harsh ebm,Electronic / Dance,rule,
high-octane americana quintet,Country,rule,
nuestramerica,,unmapped,
post-bop,,unmapped,
slang corp,,unmapped,
tibetan,,unmapped,
actresses,,unmapped,
america,,unmapped,
bollywood,World,rule,
cd baby,,unmapped,
dark hardcore,Punk / Hardcore,rule,
download,,unmapped,
library music,,unmapped,
manolo galvan,,unmapped,
sex,,unmapped,
soundtrack peppermint,Soundtrack / Musical,rule,
tbm,,unmapped,
canadian folk,Folk / Acoustic,rule,
dead,,unmapped,
electronic dub,Electronic / Dance,rule,
pop-rock,Rock,rule,
rocksteady,Rock,rule,
russian pop,Pop,rule,
speedcore,,unmapped,
catolica,,unmapped,
double bass,,unmapped,
los angeles,,unmapped,
melancholic,,unmapped,
mg morning,,unmapped,
michelle,,unmapped,
neglected genius,,unmapped,
old-timey,,unmapped,
post hardcore,Punk / Hardcore,rule,
rock 'n' roll,Rock,rule,
atlanta,,unmapped,
girl group,,unmapped,
huapango,,unmapped,
innu,,unmapped,
melodic metal,Metal,rule,
new beat,,unmapped,
the goods,,unmapped,
cowhat can,,unmapped,
early bluegrass,Country,rule,
folktronica,Folk / Acoustic,rule,
hiphop rap,Hip-Hop / Rap,rule,
japanese punk,Punk / Hardcore,rule,
neffa festival,,unmapped,
noisecore,,unmapped,
plugg,,unmapped,
powernoise,,unmapped,
praise and worship,Christian / Gospel,rule,
richard,,unmapped,
tech trance,Electronic / Dance,rule,
andean,,unmapped,
birdsong,,unmapped,
dada,,unmapped,
dark rave,Electronic / Dance,rule,
darkstep,,unmapped,
elaine stritch,,unmapped,
fingerstyle,,unmapped,
friend,,unmapped,
gitara,,unmapped,
hieroglyphics,,unmapped,
hindi,,unmapped,
italian metal,Metal,rule,
mara kayser,,unmapped,
pipa,,unmapped,
progressive deathcore,,unmapped,
radioparadise,,unmapped,
retrowave,,unmapped,
synth pop,Pop,rule,
underrated,,unmapped,
vintage mexico,Latin,rule,
christian hip hop,Hip-Hop / Rap,rule,
colorado,,unmapped,
cyprus,,unmapped,
duduk,,unmapped,
female vocals,,unmapped,
humor,,unmapped,
kk,,unmapped,
nagoya kei,,unmapped,
non-human music,,unmapped,
robert goulet,,unmapped,
san diego,,unmapped,
shady,,unmapped,
skinhead,,unmapped,
steel guitar,,unmapped,
symphony,Classical,rule,
asian american,,unmapped,
contemporary classic,,unmapped,
deutschrock,Rock,rule,
euskal,,unmapped,
george ellias,,unmapped,
ghana,,unmapped,
gramusels bluesrock,Rock,rule,
israel,,unmapped,
metal industrial,Metal,rule,
orthodox jewish,,unmapped,
rating 6 stars - reasonable,,unmapped,
sexy,,unmapped,
sxsw 2009,,unmapped,
uk hip-hop,Hip-Hop / Rap,rule,
aggrotech,,unmapped,
alternative pop,Pop,rule,
asian,,unmapped,
ethnomusicologist,,unmapped,
hick hop,,unmapped,
lebanon,,unmapped,
ny,,unmapped,
progressive folk,Folk / Acoustic,rule,
pumping house,Electronic / Dance,rule,
sludge metal,Metal,rule,
unsigned,,unmapped,
valse,,unmapped,
andre feriante,,unmapped,
artist removed 130327,,unmapped,
dirty blues,Blues,rule,
doujin ongaku,,unmapped,
duranguense,,unmapped,
experimental jazz,Jazz,rule,
folklore argentino,Folk / Acoustic,rule,
liszaj radio,,unmapped,
middle eastern,,unmapped,
players,,unmapped,
rautalanka,,unmapped,
seen in concert,,unmapped,
stand-up comedy,,unmapped,
swamp pop,Pop,rule,
tabla,,unmapped,
to explore,,unmapped,
uk hardcore,Punk / Hardcore,rule,
zimbabwe,,unmapped,
acoustic punk,Punk / Hardcore,rule,
asciiecho,,unmapped,
bandcamp com,,unmapped,
contra band,,unmapped,
harsh noise,,unmapped,
jamaica,,unmapped,
piano jazz,Jazz,rule,
pirate rap,Hip-Hop / Rap,rule,
prog rock,Rock,rule,
progressive breaks,,unmapped,
schellack-schatz,,unmapped,
standards and classics,,unmapped,
stephen harrison,,unmapped,
swiss,,unmapped,
symphonic band,Classical,rule,
uplifting trance,Electronic / Dance,rule,
belarus,,unmapped,
bulgarian,,unmapped,
cabo verde,,unmapped,
cyber metal,Metal,rule,
denver,,unmapped,
electro swing,Electronic / Dance,rule,
estonia,,unmapped,
female jazz contemporary,Jazz,rule,
heavy,,unmapped,
ihop,,unmapped,
kirtan,,unmapped,
meditative,Ambient / Instrumental,rule,
messianic,,unmapped,
noise pop,Pop,rule,
nueva ola,,unmapped,
rai,,unmapped,
russian rock,Rock,rule,
space ambient,Ambient / Instrumental,rule,
winter wilson,,unmapped,
wrongtitle,,unmapped,
adult alternative,World,rule,
ayahuasca,,unmapped,
boston-new england,,unmapped,
carnatic,,unmapped,
classical piano,Classical,rule,
dancefloor drum and bass,Electronic / Dance,rule,
folk and folk plus,Folk / Acoustic,rule,
folkloristik,Folk / Acoustic,rule,
hard techno,Electronic / Dance,rule,
kizomba,,unmapped,
luxembourg,,unmapped,
oriental,,unmapped,
scandinavian,,unmapped,
synthesizer,,unmapped,
toilet humour,,unmapped,
unknown,,unmapped,
beatbox,,unmapped,
bebop,Jazz,rule,
bells,,unmapped,
church,Christian / Gospel,rule,
cyberpunk,,unmapped,
darksynth,,unmapped,
electric blues,Blues,rule,
female country,Country,rule,
filipino music,,unmapped,
ghazal,,unmapped,
haitian,,unmapped,
instrumental metal,Metal,rule,
liquid funk,R&B / Soul,rule,
new jersey,,unmapped,
piano blues,Blues,rule,
rac,,unmapped,
rap musette,Hip-Hop / Rap,rule,
son jarocho,,unmapped,
surprise party,,unmapped,
terence charlston,,unmapped,
tribal fusion,,unmapped,
breaking laces,,unmapped,
celtic folk,Folk / Acoustic,rule,
cool jazz,Jazz,rule,
dark metal,Metal,rule,
electronic superhighway,Electronic / Dance,rule,
faces,,unmapped,
funk metal,Metal,rule,
have,,unmapped,
hongkongese,,unmapped,
jose luis perales,,unmapped,
local,,unmapped,
luis aguilar,,unmapped,
mellow instrumental,Ambient / Instrumental,rule,
new orleans fusion,,unmapped,
toni makhoul,,unmapped,
violon,,unmapped,
ccm,,unmapped,
clavecin,,unmapped,
contemporary opera,Classical,rule,
creole,,unmapped,
dance punk,Punk / Hardcore,rule,
female fronted,,unmapped,
funk rock,Rock,rule,
hebo,,unmapped,
iron leg,,unmapped,
nu disco,R&B / Soul,rule,
operetta,,unmapped,
planet mu,,unmapped,
botswana,,unmapped,
christian woman,Christian / Gospel,rule,
electronic rock,Rock,rule,
iphonekingcore,,unmapped,
lofi,Indie / Alternative,exact,
luisterpaal,,unmapped,
orisha,,unmapped,
romanian,,unmapped,
ronnie lovejoy,,unmapped,
rumba flamenco,Latin,rule,
t s b ensemble,,unmapped,
appalachian,,unmapped,
boston band crush,,unmapped,
brega,,unmapped,
complextro,,unmapped,
cowboy,,unmapped,
dale crover,,unmapped,
female jazz vocalists,Jazz,rule,
folklore,Folk / Acoustic,rule,
furry,,unmapped,
gabon,,unmapped,
haven,,unmapped,
irish folk,Folk / Acoustic,rule,
koto,,unmapped,
milwaukee,,unmapped,
oakland,,unmapped,
punk blues,Punk / Hardcore,rule,
rare rockabilly,Rock,rule,
reggae metal,Metal,rule,
rod picott,,unmapped,
singer songwriter,Folk / Acoustic,rule,
soulgrass,R&B / Soul,rule,
southern soul,R&B / Soul,rule,
steel drum,,unmapped,
sxsw 2017,,unmapped,
syliphone,,unmapped,
beat,,unmapped,
bob marly comedian,,unmapped,
britcore,,unmapped,
crunkcore,Hip-Hop / Rap,rule,
dariacore,,unmapped,
glitch-hop,Electronic / Dance,rule,
gothic doom metal,Metal,rule,
hear,,unmapped,
jazzclub eisenach,Jazz,rule,
karen akers,,unmapped,
latin rock,Rock,rule,
low rock,Rock,rule,
mod revival,,unmapped,
modern country,Country,rule,
nasheed,,unmapped,
post-classical,Classical,rule,
saw live,,unmapped,
technopop,Electronic / Dance,rule,
traditional bluegrass,Country,rule,
zamrock,Rock,rule,
afrika,,unmapped,
american classical,Classical,rule,
coffin lids,,unmapped,
corey mills,,unmapped,
cpprstar69jokebox,,unmapped,
danny dean,,unmapped,
dark folk,Folk / Acoustic,rule,
dave matthews band,,unmapped,
disco dub,R&B / Soul,rule,
doomtree,,unmapped,
emerging artist,,unmapped,
falcon ridge,,unmapped,
gnar,,unmapped,
imelda may,,unmapped,
karaosmanoglu metal,Metal,rule,
ladino,,unmapped,
ma,,unmapped,
manguebeat,,unmapped,
medicina,,unmapped,
new country,Country,rule,
ninja tune,,unmapped,
pop-rap,Hip-Hop / Rap,rule,
post amoeba,,unmapped,
producer,,unmapped,
rapper,,unmapped,
scott the woz,,unmapped,
seen,,unmapped,
simon daum,,unmapped,
string-band,,unmapped,
uganda,,unmapped,
yacht rock,Rock,rule,
avant-prog,,unmapped,
award,,unmapped,
blues roots,Blues,rule,
chapstep,,unmapped,
clasicram,,unmapped,
conscious hip-hop,Hip-Hop / Rap,rule,
g veroba,,unmapped,
harmony vocals,,unmapped,
jason levasseur,,unmapped,
jonah quizz,,unmapped,
math metal,Metal,rule,
old school rap,Hip-Hop / Rap,rule,
pianist,,unmapped,
pratajev,,unmapped,
taiko,,unmapped,
tanzania,,unmapped,
urban,,unmapped,
video game rock,Rock,rule,
vyoumans,,unmapped,
western classical music,Classical,rule,
wfmu,,unmapped,
zouk,,unmapped,
birmingham,,unmapped,
british invasion,,unmapped,
catalan,,unmapped,
chamber music,Classical,rule,
country rap,Hip-Hop / Rap,rule,
dreamy,,unmapped,
guitar cover,,unmapped,
heavy psych,,unmapped,
indiana,,unmapped,
italojohnson,Electronic / Dance,rule,
jazz rap,Hip-Hop / Rap,rule,
keyboards,,unmapped,
male and female vocals,,unmapped,
melodic metalcore,Metal,rule,
moonlight dub experiment,Reggae,rule,
newfoundland,,unmapped,
paisley underground,,unmapped,
ploppy,,unmapped,
preverb,,unmapped,
reedukay,,unmapped,
rutracker,,unmapped,
samisong,,unmapped,
sax,,unmapped,
scandinavian folk,Folk / Acoustic,rule,
sentimental,,unmapped,
sitar,,unmapped,
slacker rock,Rock,rule,
slovakia,,unmapped,
text,,unmapped,
thai,SEA Pop,exact,
the voice,,unmapped,
beyondwithin,,unmapped,
cleveland,,unmapped,
drehorgel,,unmapped,
early music performers,Classical,rule,
frenchcore,,unmapped,
hardtekk,,unmapped,
kathy reid-naiman,,unmapped,
malaysian,SEA Pop,exact,
modern metal,Metal,rule,
muscovy,,unmapped,
oriental metal,Metal,rule,
poland,,unmapped,
qawwali,,unmapped,
serbian,,unmapped,
supergroups,,unmapped,
sxsw 2008,,unmapped,
technical deathcore,,unmapped,
thrash,,unmapped,
uruguay,,unmapped,
what shall we do without us,,unmapped,
acts to check out asap,,unmapped,
big band swing,Jazz,rule,
collisionrecords,,unmapped,
contemporary gospel,Christian / Gospel,rule,
crow mother,,unmapped,
dead seal,,unmapped,
dream syndicate,,unmapped,
electric violin,,unmapped,
flamenco guitar,Latin,rule,
folk music,Folk / Acoustic,rule,
french rock,Rock,rule,
goth rock,Rock,rule,
guys i would fuck,,unmapped,
jazz metal,Metal,rule,
k-indie,Indie / Alternative,rule,
karneval,,unmapped,
kill rock stars,Rock,rule,
lansing,,unmapped,
loud rock,Rock,rule,
old soul,R&B / Soul,rule,
p-pop,Pop,rule,
philadelphia,,unmapped,
regional mexican,Latin,rule,
slack key guitar,,unmapped,
slightly streamable,,unmapped,
slippery noodle in october,,unmapped,
trinidad and tobago,,unmapped,
zydefolk and roll,Folk / Acoustic,rule,
alternrock,Rock,rule,
apocalyptic folk,Folk / Acoustic,rule,
baltimore,,unmapped,
beijing angelic choir,Classical,rule,
bluegrass-gospel,Country,rule,
bounce,,unmapped,
cam ly,,unmapped,
christian punk,Punk / Hardcore,rule,
country blues,Country,rule,
discoverunsigned,,unmapped,
duos,,unmapped,
emocore,,unmapped,
female artists,,unmapped,
folktronic,Folk / Acoustic,rule,
good music,,unmapped,
guinea-bissau,,unmapped,
hang,,unmapped,
horror jazz,Jazz,rule,
i killed kafka,,unmapped,
italian pop,Pop,rule,
kansas,,unmapped,
music i might like,,unmapped,
newburyport,,unmapped,
proto punk,Punk / Hardcore,rule,
r&b,R&B / Soul,rule,
reggae puerto rico,Reggae,rule,
relax,Ambient / Instrumental,rule,
rescued from the cut-out bin,,unmapped,
rocanrol,,unmapped,
unit g,,unmapped,
whiskey,,unmapped,
aboriginal,,unmapped,
abstract,,unmapped,
akron,,unmapped,
aotm april 2011,,unmapped,
asheville,,unmapped,
australian aboriginal,,unmapped,
chill-out,Ambient / Instrumental,rule,
classic blues,Blues,rule,
classical singer,Classical,rule,
comedy rap,Hip-Hop / Rap,rule,
country quebecois,Country,rule,
creative commons,,unmapped,
daytrotter,,unmapped,
deathstep,,unmapped,
euskara,,unmapped,
experimental electronica,Electronic / Dance,rule,
for babies,,unmapped,
german favourites,,unmapped,
gimme  sum acoustic magic,Folk / Acoustic,rule,
glass harmonica,,unmapped,
glee,,unmapped,
gypsy folk,Folk / Acoustic,rule,
h g murphy,,unmapped,
impressionism,,unmapped,
jazzdrums,Jazz,rule,
kurdish,,unmapped,
michigan folk,Folk / Acoustic,rule,
musique concrete,,unmapped,
odds and ends,,unmapped,
old-time,,unmapped,
piano solo,Ambient / Instrumental,rule,
reno,,unmapped,
reviewed,,unmapped,
serbia,,unmapped,
shanties,,unmapped,
skepticism,,unmapped,
soft-rock,Rock,rule,
thrill jockey,,unmapped,
usa punk,Punk / Hardcore,rule,
wonderful women,,unmapped,
you,,unmapped,
amapiano,Ambient / Instrumental,rule,
ambient techno,Electronic / Dance,rule,
bbc new generation,,unmapped,
breakbeats,Electronic / Dance,rule,
egyptian,,unmapped,
fingerstyle guitar,,unmapped,
guitarra clasica,,unmapped,
hamburg,,unmapped,
hayden chisholm,,unmapped,
hush records,,unmapped,
ilg,,unmapped,
jazz funk,Jazz,rule,
kaito,,unmapped,
macedonian,,unmapped,
montreal,,unmapped,
new rave,Electronic / Dance,rule,
new world fair,World,rule,
nonstreamable,,unmapped,
nostalgic,,unmapped,
oc remix,,unmapped,
otacore,,unmapped,
psych,,unmapped,
reggea,,unmapped,
rio,,unmapped,
sbe,,unmapped,
sippy cups,,unmapped,
skate rock,Rock,rule,
sosshouse,Electronic / Dance,rule,
space age pop,Pop,rule,
superduper,,unmapped,
swamp,,unmapped,
under 2000 spotify followers,,unmapped,
working class heroes,,unmapped,
amped,,unmapped,
art rock,Rock,rule,
badass,,unmapped,
bernd cluever,,unmapped,
brazilian country,Country,rule,
bulgaria,,unmapped,
cambodian,,unmapped,
dan auerbach,,unmapped,
electro-swing,Electronic / Dance,rule,
entschleunigen,,unmapped,
ethiopian,,unmapped,
experimental glitch,Electronic / Dance,rule,
female singer,,unmapped,
folk pop,Folk / Acoustic,rule,
frank ocean,,unmapped,
genrosso,,unmapped,
glam punk,Punk / Hardcore,rule,
indie soul,Indie / Alternative,rule,
jazz violin,Jazz,rule,
joropo,,unmapped,
kentsimbtemp2,,unmapped,
klassik,,unmapped,
liechtenstein,,unmapped,
lithuanian,,unmapped,
los,,unmapped,
madlib,,unmapped,
mainstream metal,Metal,rule,
moog,,unmapped,
neutral,,unmapped,
nordic folk,Folk / Acoustic,rule,
persian rap,Hip-Hop / Rap,rule,
prophetic,,unmapped,
rap-rock,Hip-Hop / Rap,rule,
setar,,unmapped,
singapore,SEA Pop,exact,
solomon islands,,unmapped,
soulful blues,Blues,rule,
taiwanese,C-Pop / Mandopop,exact,
the ray conniff singers,,unmapped,
us metal,Metal,rule,
acl,,unmapped,
ancient greek,,unmapped,
artist,,unmapped,
beatdown hardcore,Punk / Hardcore,rule,
burgerrecords,,unmapped,
cadence,,unmapped,
canadians,,unmapped,
classic country,Country,rule,
columbus,,unmapped,
contemporary,,unmapped,
dark industrial techno,Electronic / Dance,rule,
drag queen,,unmapped,
eclectic dreaming,,unmapped,
exotica-lounge,Ambient / Instrumental,rule,
female soul vocalists,R&B / Soul,rule,
fresh,,unmapped,
georgian,,unmapped,
gotta check out,,unmapped,
guyana,,unmapped,
hardtechno,Electronic / Dance,rule,
jumpstyle,,unmapped,
k-luv,,unmapped,
massachusetts,,unmapped,
mechanical music,,unmapped,
oldschool,,unmapped,
on jase,,unmapped,
porter records,,unmapped,
psychedlic,,unmapped,
quirky pop,Pop,rule,
red dirt,,unmapped,
rock boat,Rock,rule,
slam,,unmapped,
soukous,,unmapped,
soul funk,R&B / Soul,rule,
southern,,unmapped,
southern metal,Metal,rule,
uk drill,Hip-Hop / Rap,rule,
viola,,unmapped,
weird,,unmapped,
whatever punk,Punk / Hardcore,rule,
band,,unmapped,
british girls,,unmapped,
canton jones,,unmapped,
chart,,unmapped,
circus punk,Punk / Hardcore,rule,
classical or jazz,Jazz,rule,
clever,,unmapped,
college,,unmapped,
discofox,,unmapped,
gutterfonk,,unmapped,
gypsy punk,Punk / Hardcore,rule,
hammond organ,,unmapped,
jazz manouche,Jazz,rule,
jazz sax,Jazz,rule,
jazz-funk,Jazz,rule,
kebabcore,,unmapped,
latinoamerica,Latin,rule,
lodmpr,,unmapped,
m jeritza,,unmapped,
malawi,,unmapped,
metallica,Metal,rule,
mezzo-soprano,,unmapped,
minneapolis sound,,unmapped,
movie score composers,,unmapped,
nicaragua,,unmapped,
nola,,unmapped,
old time country,Country,rule,
philly,,unmapped,
piano trio,Ambient / Instrumental,rule,
qanun,,unmapped,
rock mexicano,Rock,rule,
rock-hard,Rock,rule,
roger williams,,unmapped,
science fiction,,unmapped,
shakuhachi,,unmapped,
sierra leone,,unmapped,
skyjacker,,unmapped,
slovak,,unmapped,
soft blues,Blues,rule,
south east asia,,unmapped,
speeches,,unmapped,
spirit,,unmapped,
swiss music,,unmapped,
the,,unmapped,
tstsnbn,,unmapped,
uk funky,R&B / Soul,rule,
vocal-band,,unmapped,
washed up,,unmapped,
webseries,,unmapped,
will lee,,unmapped,
bitpop,Pop,rule,
bpitch control,,unmapped,
cameroon,,unmapped,
china,,unmapped,
clavichord,,unmapped,
denver band,,unmapped,
desert rock,Rock,rule,
die jungen zillertaler,,unmapped,
eighties,,unmapped,
fastcore,,unmapped,
fun metal,Metal,rule,
funk rap,Hip-Hop / Rap,rule,
genius,,unmapped,
hans moser,,unmapped,
hawaii,,unmapped,
horror surf,Rock,rule,
hypnagogic pop,Pop,rule,
iceland,,unmapped,
lautfm bluesclub,Blues,rule,
lofi hip hop,Hip-Hop / Rap,rule,
maine,,unmapped,
melodic dubstep,Electronic / Dance,rule,
military marches,,unmapped,
neocrust,,unmapped,
oklahoma,,unmapped,
piano pop,Pop,rule,
pokemon,,unmapped,
posaunen vireotose,,unmapped,
progressive sludge,Metal,rule,
soviet,,unmapped,
space disco,R&B / Soul,rule,
sudan,,unmapped,
swankie music,,unmapped,
tanbur,,unmapped,
traditional folk,Folk / Acoustic,rule,
travis kelce,,unmapped,
x-dump,,unmapped,
alternative hip hop,Hip-Hop / Rap,rule,
american primitivism,,unmapped,
ancient music,,unmapped,
andrew,,unmapped,
angelic voices,,unmapped,
arthur russell,,unmapped,
bahamas,,unmapped,
bellydance,,unmapped,
black gospel,Christian / Gospel,rule,
blaxploitation,,unmapped,
dark jazz,Jazz,rule,
discoveries,,unmapped,
drumnbass,Electronic / Dance,rule,
electro-acoustic,Electronic / Dance,rule,
esoteric,,unmapped,
glue ear,,unmapped,
gothic americana,Country,rule,
hololive,,unmapped,
jpop,J-Pop / Anime,exact,
lullabies,Ambient / Instrumental,rule,
martin de xango,,unmapped,
mashup,,unmapped,
matt redman,,unmapped,
mc ron g,,unmapped,
merry christmas,,unmapped,
mestizo,,unmapped,
misc,,unmapped,
nickelodeon,,unmapped,
operette,,unmapped,
original,,unmapped,
pipe band,,unmapped,
post-industrial,,unmapped,
post-romantic,,unmapped,
psybient,,unmapped,
psychedelic pop,Rock,rule,
sca,,unmapped,
slacker punk,Punk / Hardcore,rule,
son cubano,,unmapped,
speed garage,,unmapped,
storyteller,,unmapped,
susan boyle,,unmapped,
the l word,,unmapped,
tuba,,unmapped,
vaudeville,,unmapped,
w opernorchester,,unmapped,
wood and string,,unmapped,
yandex music,,unmapped,
accordeon,,unmapped,
ae,,unmapped,
alt-idol,,unmapped,
artisttoknow,,unmapped,
aussie hip-hop,Hip-Hop / Rap,rule,
ballad,,unmapped,
beatdown,,unmapped,
boogie,,unmapped,
buddhist,,unmapped,
caribbean,,unmapped,
childrens music,,unmapped,
chinese traditional,,unmapped,
christian metal,Metal,rule,
dallas,,unmapped,
dark pop,Pop,rule,
desi hip-hop,Hip-Hop / Rap,rule,
fmera artist,,unmapped,
gda,,unmapped,
gentenormal,,unmapped,
hangin' out,,unmapped,
hockey,,unmapped,
less than 100 listeners,,unmapped,
listened,,unmapped,
m head,,unmapped,
maryland,,unmapped,
minimal drum and bass,Electronic / Dance,rule,
minimal house,Electronic / Dance,rule,
music,,unmapped,
neo-prog,,unmapped,
nj,,unmapped,
old time,,unmapped,
palestine,,unmapped,
percussive jazz,Jazz,rule,
pink floyd,,unmapped,
pirate rock,Rock,rule,
post punk,Punk / Hardcore,rule,
russia,,unmapped,
russian folk,Folk / Acoustic,rule,
sonic,,unmapped,
star trek,,unmapped,
stimmung,,unmapped,
timothy seth avett as darling,,unmapped,
trans,,unmapped,
trill,,unmapped,
under 200000000 listeners,,unmapped,
unsafe for snowflakes,,unmapped,
wizard rock,Rock,rule,
worldbeat,World,rule,
acoustic rock,Rock,rule,
african soul,R&B / Soul,rule,
algeria,,unmapped,
allaboutjazz,Jazz,rule,
anti-fade,,unmapped,
anti-folk,Folk / Acoustic,rule,
anti-solo,,unmapped,
antti huovila,,unmapped,
audiobook,,unmapped,
bangladesh,,unmapped,
bomba,,unmapped,
chacarera,,unmapped,
chilean,,unmapped,
cillit bang,,unmapped,
cole phoenix,,unmapped,
croatia,,unmapped,
daddy,,unmapped,
dave morgan,,unmapped,
down tempo,,unmapped,
edmonton,,unmapped,
electric guitar,,unmapped,
electro/pop/rock,Rock,rule,
en preparacion,,unmapped,
fantasy,,unmapped,
freeform,,unmapped,
french hip hop,Hip-Hop / Rap,rule,
g-haynes,,unmapped,
gay bear,,unmapped,
hip hop rap,Hip-Hop / Rap,rule,
indian rock,Rock,rule,
jagjaguwar,,unmapped,
just intonation,,unmapped,
melodic death-metal,Metal,rule,
musette,,unmapped,
nc,,unmapped,
neo pop,Pop,rule,
niger,,unmapped,
not racist,,unmapped,
nu-jazz,Jazz,rule,
pinoy rock,SEA Pop,exact,
schranz,,unmapped,
science,,unmapped,
sea shanties,,unmapped,
shimmy disc,,unmapped,
sid metal,Metal,rule,
simply amazing,,unmapped,
soaking,,unmapped,
sought after soul,R&B / Soul,rule,
soul hip hop,Hip-Hop / Rap,rule,
sri lankan,,unmapped,
synthpunk,,unmapped,
thoughtful,,unmapped,
thulane,,unmapped,
turkish classical music,Classical,rule,
wind,,unmapped,
ac4,,unmapped,
acousmatic,,unmapped,
avant-jazz,Jazz,rule,
beach boys,,unmapped,
better than selena gomez,,unmapped,
beyond,,unmapped,
bigband,,unmapped,
billy childish,,unmapped,
blackened doom metal,Metal,rule,
blues vocal,Blues,rule,
c86,,unmapped,
celtic connections 2009,Folk / Acoustic,rule,
charming,,unmapped,
darryl read,,unmapped,
derbyshire,,unmapped,
dipset,,unmapped,
discovered at labtones,,unmapped,
dmv area,,unmapped,
drum & bass,,unmapped,
drywall,,unmapped,
dsbm,,unmapped,
english composers,,unmapped,
franco de vita,,unmapped,
friends bands,,unmapped,
gaelic,,unmapped,
good better nique,,unmapped,
gorgeous,,unmapped,
greater vision,,unmapped,
greatest director of all time,,unmapped,
guitar rock,Rock,rule,
hardcore hip hop,Punk / Hardcore,rule,
hatza,,unmapped,
hip-hop quebecois,Hip-Hop / Rap,rule,
immense,,unmapped,
indianapolis,,unmapped,
industrial techno,Electronic / Dance,rule,
j aler,,unmapped,
j linder,,unmapped,
jazz blues,Jazz,rule,
jc carmichael,,unmapped,
jon popper,,unmapped,
kindie,Indie / Alternative,rule,
kosovo,,unmapped,
lilium,,unmapped,
liverpool,,unmapped,
lms artist,,unmapped,
los huracanes del norte,,unmapped,
male singer,,unmapped,
markus james,,unmapped,
members only,,unmapped,
microfunk,R&B / Soul,rule,
milonga,,unmapped,
modern,,unmapped,
mountain dulcimer,,unmapped,
one,,unmapped,
p maloney,,unmapped,
pakistan,,unmapped,
pop-folktronic,Folk / Acoustic,rule,
post-minimalism,,unmapped,
psybreaks,,unmapped,
queen,,unmapped,
raggamuffin,Reggae,rule,
regional mexicano,Latin,rule,
slow-coustic,,unmapped,
sonatas,Classical,rule,
soundtracks,Soundtrack / Musical,rule,
soviet composers,,unmapped,
sympho metal,Metal,rule,
t61,,unmapped,
technical metalcore,Metal,rule,
the beach boys,,unmapped,
theatrical rock,Rock,rule,
tread,,unmapped,
turk tresize,,unmapped,
viking rock,Rock,rule,
wallpaper music,,unmapped,
wigan,,unmapped,
wrestling,,unmapped,
zu geil,,unmapped,
a voz orgulho da brasil,Latin,rule,
alternative rap,Hip-Hop / Rap,rule,
ambient electronica,Electronic / Dance,rule,
b beesingers,,unmapped,
baritone ukulele,,unmapped,
blank and the blanks,,unmapped,
bone thugs,,unmapped,
boston indie,Indie / Alternative,rule,
bristol,,unmapped,
byzantine,,unmapped,
canadian hip-hop,Hip-Hop / Rap,rule,
celtic thunder,Folk / Acoustic,rule,
check out,,unmapped,
christian goth,Christian / Gospel,rule,
clawhammer,,unmapped,
collaborations,,unmapped,
columbia river entertainment,,unmapped,
corsica,,unmapped,
country-rock,Country,rule,
cow punk,Punk / Hardcore,rule,
dad rock,Rock,rule,
dark pop wave,Pop,rule,
dark trap,Hip-Hop / Rap,rule,
deep ambient,Ambient / Instrumental,rule,
diva,,unmapped,
drag,,unmapped,
drumfunk,R&B / Soul,rule,
east coast hip-hop,Hip-Hop / Rap,rule,
electropunk,Electronic / Dance,rule,
female mc,,unmapped,
fickscheisse,,unmapped,
fillessourires,,unmapped,
film score,Soundtrack / Musical,rule,
fred durst,,unmapped,
future house,Electronic / Dance,rule,
gs1425,,unmapped,
hanne haller,,unmapped,
homestead records,,unmapped,
honest money,,unmapped,
horrorpunk,,unmapped,
hughes63,,unmapped,
i've sound,,unmapped,
indie classical,Indie / Alternative,rule,
jefferey jericho,,unmapped,
jessica,,unmapped,
kamancheh,,unmapped,
katzenmusik,,unmapped,
kid music,,unmapped,
lesotho,,unmapped,
lyrics female vocal mellow,,unmapped,
m anadon,,unmapped,
macedonia,,unmapped,
malmo,,unmapped,
maltese,,unmapped,
mariachis,Latin,rule,
mento,,unmapped,
mobo records,,unmapped,
modern blues,Blues,rule,
motherfucking christmas cats,,unmapped,
musica brasileira,Latin,rule,
musician,,unmapped,
new discoveries,,unmapped,
night,,unmapped,
nightcore,,unmapped,
noir,,unmapped,
nosimtag,,unmapped,
otterly alive,,unmapped,
pan,,unmapped,
post bop,,unmapped,
post hitching post,,unmapped,
prewar blues,Blues,rule,
providence ri,,unmapped,
racist,,unmapped,
radio-ffer2,,unmapped,
ramones,,unmapped,
roma jazz,Jazz,rule,
sac-town,,unmapped,
samba rock,Rock,rule,
shamisen,,unmapped,
singer,,unmapped,
sinhala rap,Hip-Hop / Rap,rule,
ska-jazz,Jazz,rule,
